graph_alias,src,dst,bond_idx,a1,a2,distance,bo_mayer_abs,bo_wiberg,bo_mull
C2822R,18,25,55,18,25,1.547073818395554,1.018416270991497,1.011577695316292,0.5779825030131316
C2822R,19,20,56,19,20,1.529371105180492,1.072060426763837,0.7727059761921071,0.4541844310543324
C2822R,19,59,57,19,59,1.098123727914573,0.8736148071628561,0.7766693619617226,0.6972664018286778
C2822R,19,60,58,19,60,1.096406939089679,1.069789012066116,1.037849970679564,0.9204806886611906
C2822R,20,21,59,20,21,1.521521752019668,0.8100630284170779,0.8955722281483413,0.9167680486043068
C2822R,20,61,60,20,61,1.096864108956529,0.8180389970775076,0.9841934694251585,0.8601836961268324
C2822R,20,62,61,20,62,1.094385482033639,0.961218073003158,0.8862500022019243,0.7634889740676306
C2822R,21,22,62,21,22,1.548367690757593,1.097262778437073,1.20149067390328,0.4723275539497607
C2822R,21,63,63,21,63,1.098877249231233,0.890753087521033,1.148391152906074,0.8249557308818918
C2822R,21,64,64,21,64,1.097833761372367,1.025553993515397,1.110955599840462,0.724594302513105
C2822R,22,23,65,22,23,1.539380126630846,0.8198212340493785,0.9936410040315223,1.134569554581444
C2822R,22,24,66,22,24,1.551328760188826,1.123830743428883,1.113825142820825,1.1569622943831
C2822R,23,65,67,23,65,1.094861171964738,1.12744429043695,0.9668959766043306,0.819368066528449
C2822R,23,66,68,23,66,1.097067157026405,0.9068280281830021,0.8700895310762938,0.503481671012038
C2822R,23,67,69,23,67,1.089854874532385,1.044494865831286,0.952659797728953,0.7559677566788786
C2822R,24,68,70,24,68,1.097070802092098,0.9683376015805095,0.9398464998967113,0.4764574081597827
C2822R,24,69,71,24,69,1.094581268005716,0.9496940348523629,0.8933172307067311,0.677665996189274
C2822R,24,70,72,24,70,1.095709787373007,0.9331053884293999,0.951760647830713,0.8775528022668282
C2822R,25,71,73,25,71,1.09280119193566,0.9591694547012288,1.048810973465694,0.9394194854832829
C2822R,25,72,74,25,72,1.093247881075925,0.8777845465620504,0.999582989415537,0.677069767405372
C2822R,25,73,75,25,73,1.090744849525314,1.171883160929535,0.9663241301299986,0.9030181086842063
C2822R,26,74,76,26,74,1.089455545391826,0.821297769541248,1.151805558049174,0.937854832113216
C2822R,26,75,77,26,75,1.092381853546644,0.9086054826218853,0.9130699185751765,0.6099050391496418
C2822R,26,76,78,26,76,1.09497188530528,1.002474648855589,0.8845051657396806,0.8951514784442279
C2822R,27,77,79,27,77,1.093436129877736,1.131318865854404,1.131113121722922,0.5053606798612531
C2822R,27,78,80,27,78,1.096088463433951,1.004774677005382,1.01818439027731,0.7100419548253106
C2822R,27,79,81,27,79,1.094890789155704,1.091429173535653,1.105082183201585,1.119601280458776
C2822S,0,1,0,0,1,1.522216243281158,0.9263676735840342,0.973140489110144,1.021982063540005
C2822S,0,5,1,0,5,1.528776667071093,0.9086009586981134,1.169433700998141,1.001578452655379
C2822S,0,26,2,0,26,1.094275116515952,0.9520793904834346,0.7162503797539226,0.6255352040781101
C2822S,0,27,3,0,27,1.096500099977652,0.7579738363034596,1.168821472079372,0.4914432769796989
C2822S,1,2,4,1,2,1.549736870345737,1.028125433563551,0.8562825498603004,0.8105928470117011
C2822S,1,28,5,1,28,1.097680121037546,1.08239330615308,1.094651424182687,0.7419617304154889
C2822S,1,29,6,1,29,1.098728245420586,0.9073371406099993,1.250708395322375,0.7102307586062568
C2822S,2,3,7,2,3,1.570019086657548,0.7849253587519767,0.8685698392350878,0.7805456639311744
C2822S,2,24,8,2,24,1.539294899551415,1.258686338536991,1.216996267722814,0.8069375988608294
C2822S,2,25,9,2,25,1.551084589235868,0.8288995769952565,0.6723188780186555,0.8924582497939874
C2822S,3,4,10,3,4,1.572635618011051,0.7940059059704738,1.071153305173319,0.7252848406048283
C2822S,3,15,11,3,15,1.541321151058727,0.9546669585494015,1.105466775316106,0.5812606794397164
C2822S,3,30,12,3,30,1.103435764261337,1.078043505195087,0.8666230605010745,0.8818268389985405
C2822S,4,5,13,4,5,1.558304112697839,1.090751873659207,0.9638673033878917,1.165321052698871
C2822S,4,6,14,4,6,1.549843483881518,0.652519143022823,1.081608269972261,0.5875799514032657
C2822S,4,7,15,4,7,1.58978664546819,0.7806362973849196,1.131396139998661,0.671008634449622
C2822S,5,31,16,5,31,1.0974803315495,0.9039651832186467,0.9509483438034784,0.8284413148381797
C2822S,5,32,17,5,32,1.09852135406327,0.8735912854839426,0.8529457537928542,0.8377499712582328
C2822S,6,33,18,6,33,1.092563179712734,0.9452455157634339,1.279223574508574,1.195177648221268
C2822S,6,34,19,6,34,1.09282514083544,0.8534717164913665,0.930244009758479,0.7896055968133001
C2822S,6,35,20,6,35,1.091549711664109,1.007184383992009,0.953671625818873,1.006485297920714
C2822S,7,8,21,7,8,1.546482394602991,0.7166611701282637,1.115560875812279,1.323398301624572
C2822S,7,13,22,7,13,1.568802126410147,0.9738532419838714,0.988961854624145,1.359420805398245
C2822S,7,36,23,7,36,1.102838756468506,0.822608065643885,1.094650784459146,0.7048780547884113
C2822S,8,9,24,8,9,1.523789152556875,1.122009838191095,0.8629313346766787,0.6237782819086106
C2822S,8,37,25,8,37,1.098127829522137,1.202656809551914,0.8547975424158141,0.7231605103493914
C2822S,8,38,26,8,38,1.093199007826571,1.028712117916367,0.7747876223389072,0.7758109352288894
C2822S,9,10,27,9,10,1.526376041673545,1.221821892868703,1.439619311871542,0.453407926804534
C2822S,9,39,28,9,39,1.098306903546545,0.9934511776463975,1.157319009373288,0.526855106726135
C2822S,9,40,29,9,40,1.095187542393539,0.9687620996950456,1.028935594348838,0.8326479064545587
C2822S,10,11,30,10,11,1.538281836019005,0.7461505052645736,1.432159079707652,0.7689600803534573
C2822S,10,12,31,10,12,1.564501313905169,1.049609450400838,1.310215852019407,0.9601758647235838
C2822S,10,41,32,10,41,1.097648730524479,1.00704190774102,1.107396197414396,0.8342836044811791
C2822S,11,42,33,11,42,1.094912536855799,0.8649607636305978,1.026952063327902,0.3154954480248822
C2822S,11,43,34,11,43,1.094138930716296,0.8787225670590585,0.8137526715837888,0.5586488810432602
C2822S,11,44,35,11,44,1.093353812866174,0.9251550304710359,1.036631726716454,0.9192295655148334
C2822S,12,13,36,12,13,1.596866299838531,0.9306320292199022,1.076838977784089,0.8493387722903795
C2822S,12,17,37,12,17,1.555623534654834,0.8803802967014109,0.7777285124905242,0.9400803248177467
C2822S,12,45,38,12,45,1.097332539600462,0.8773540224518545,0.9509691194162383,0.7826056352247349
C2822S,13,14,39,13,14,1.560014804154435,0.9887872865533994,0.8755271611989857,0.9631045590496297
C2822S,13,16,40,13,16,1.548104089557288,0.9780714336949795,1.176517145213981,1.050356506392001
C2822S,14,15,41,14,15,1.531133704687151,1.01808998520603,1.03095923887368,0.7070778864769814
C2822S,14,46,42,14,46,1.098402789270402,1.022255657615109,0.905369101182026,0.7129131256451163
C2822S,14,47,43,14,47,1.096799132852502,0.9223539149898665,0.9689816186510548,0.522253320827208
C2822S,15,48,44,15,48,1.09369159555745,0.8825776806809232,0.8298446192102973,0.7216048445237494
